SENTENCE,LABEL
Immunohistochemistry showed that the positive rate of CDK1 and Ki-67 decreased and the expression of miR-31 increased after PVT1 was inhibited.,0
"High expression of PDCD4, a target gene of miR-21, can negatively regulate the expression of ABC transporter ABCC5 and the stem cell marker CD44.",1
"METHODS: We detected the expression levels of apelin and miR-195 in lung adenocarcinoma tissues and lung cancer cell lines using Western blotting and quantitative reverse transcription PCR assay, respectively.",0
"These results shown that miR-181c attenuated nitration stress through regulating FoxO1 expression and affecting endothelial cell function, which offering a new target for the development of preventive or therapeutic agents against DM.",1
LIN28B and NRAS were targeted by miR-4500.,1
Knockdown of SRSF3 decreased the expression of miR-1908-5p by inhibiting transactivation of NF-kappaB.,0
"Among them, miR-30c-1(*) was noticed because overexpression of miR-30c-1(*) triggered upregulation of transmembrane tumor necrosis factor-alpha expression and enhanced NK cell cytotoxicity against hepatoma cell lines SMMC-7721 and HepG2.",0
"We further replicated the relationship between the expression of miR-193b*, CRIM1, IFIT2, KCNMA1, and GRAMD1B, and platinum sensitivity in a separate HapMap CEU III dataset.",0
"CONCLUSIONS: Circ_0135889 promoted the tumorigenicity of NB by regulating miR-127-5p/NEUROD1 axis, which might provide a promising therapeutic target for NB.",1
"Using various software applications predicting miRNAs and evaluating GEO microarray data, miR-144 was selected as an inhibitor of PTEN.",1
"In this study, our results indicated that extracellular HMGB1 promoted the invasion, sphere formation and EMT process of HCC by increasing CD44 expression, which was dependent on miR-21.",1
MicroRNA-34a targets notch1 and inhibits cell proliferation in glioblastoma multiforme.,1
"EXPERIMENTAL DESIGN: miR-320 expression was assessed in vitro, in the ATDC5 cell model of chondrogenesis and in interleukin-1beta (IL-1beta)-treated primary mouse chondrocytes (PMCs), and in vivo, in normal and OA human cartilage by in situ hybridization.",0
"Integrin alpha5 (ITGA5), an integrin family member, was subsequently identified as a direct target of miR-31 in UBC cells.",1
Co-transfection with miR-519d mimic reversed CTGF-mediated MMPs expression and cell migration.,0
"In human livers, the PPARalpha protein levels were not correlated with PPARalpha mRNA, but inversely correlated with the miR-21 levels, suggesting a substantial impact of miR-21, although the contribution of miR-27b could not be ruled out.",0
"METHODS: The expression of circ-CSNK1G1, miR-28-5p and lactate dehydrogenase A (LDHA) mRNA was measured by quantitative real-time polymerase chain reaction (qPCR), and the expression of LDHA protein was measured by western blot.",0
"Furthermore, miR6079 targets JMJD2A and then increased the tri-methylation of histone H3 on the ninth lysine (H3K9me3).",1
"Furthermore, let-7e suppressed DCLK1 expression.",1
"CONCLUSIONS: miR-139-5p was identified as a tumour suppressor by negatively targeting Notch1, and this work suggests a possible molecular mechanism of the miR-139/Notch1/EMT axis for glioma treatment.",1
"In addition, miR-375 negatively regulated Sp1 transcription factor (SP1) protein by directly binding to the 3'-untranslated region (3'-UTR).",1
"In this article we will: (i) consolidate some of our still evolving ideas concerning the role of miRNAs in the CNS in normal aging and in health, and in sporadic Alzheimer's disease (AD) and related forms of chronic neurodegeneration; and (ii) highlight certain aspects of the most current work in this research field, with particular emphasis on the findings from our lab of a small pathogenic family of six inducible, pro-inflammatory, NF-kappaB-regulated miRNAs including miRNA-7, miRNA-9, miRNA-34a, miRNA-125b, miRNA-146a and miRNA-155.",0
"These effects were abolished by the mutation of the predicted miR-135b-binding site, which indicates that c-Myc may be a miR-135b target gene.",0
"We further performed KEGG pathway analysis and GO enrichment analysis for miR-186-5p and miR-200b-5p, and identified that these miRNAs are associated with cancer development and progression involving toll-like receptor signaling, cell cycle, AMPK, p53 and NF-kappa B signaling pathways.",0
"Furthermore, reintroduction of RB1 markedly attenuated the proliferative roles of miR-132 overexpression.",1
NLRP3 inflammasome inactivation driven by miR-223-3p reduces tumor growth and increases anticancer immunity in breast cancer.,1
"Results showed that HOXA11-AS and WNT1 expression levels were upregulated, while miR-148a level was downregulated in GC tissues and cell lines relative to matched controls.",0
Hypoxia reduced the Necl-2 protein level in a manner independent of miR-214 or hypoxia-inducible factor-1alpha in Caco-2 cells.,0
"Mechanistically, we identified that the lysophosphatidylcholine acyltransferase-1 (LPCAT1) is a novel target of miR-205 in multiple cancer cells.",1
"In this study, we found that both miR-142 and miR-223 attenuated the proliferation of hematopoietic cells, and that miR-223 up-regulated miR-142 expression through the LMO2-L/-S isoforms and CEBP-beta.",1
The miR-339-5p group produced significantly less vascular-like structures than the NC and miR-con groups (P < 0.05).,0
The percentage of apoptotic cells in gastric cancer cells transfected with miR-34a mimic/Tgif siRNA was much higher compared to the controls.,0
Mice were treated with Triton WR1339 and 35S-methionine/cysteine to determine the effect of miR-378a-3p on hepatic secretion of VLDL.,0
SIRT1-targeted miR-543 autophagy inhibition and epithelial-mesenchymal transition promotion in Helicobacter pylori CagA-associated gastric cancer.,1
"Further on the basis of our results and previous scientific reports, we propose that ""c-Myc,"" which is over expressed during ER stress, repress the expression of miR-23a, which in turn regulates the expression of its target genes viz., LDH A and LDH B, thereby making the cells more competent to survive in tumor microenvironment, which requires efficient use of aerobic glycolysis.",1
Inhibition of miR-21 reversed the impact of GAS5 knockdown on PTEN/Akt signaling pathway (P<0.05).,0
"Immunocytochemistry confirmed the linkage of IGF1-R to miR-100, because cells transfected with miR-100 inhibitor showed a decrease in IGF1-R. Cells transfected with a miR-138 mimic, however, did not affect IGF1-R expression.",1
"In conclusion, miR-375 inhibited the proliferation, invasion and migration by directly targeting SP1 and regulating MMP2 and EMT-associated genes.",1
"Our data suggest that SET8 modifies HCC outcome by altering its expression, which depends, at least in part, on its binding affinity with miR-502.",1
"CircRNA_000554 acted as a sponge of miR-182, and miR-182 directly targeted ZFP36.",1
"In summary, Qi Ling inhibited docetaxel resistance and glycolysis of CRPC possibly via SNHG10/miR-1271-5p/TRIM66 pathway.",0
"More important, the elevated expression of miR-194 or ECT2 silencing inhibited the Rho pathway, and further promoted the apoptosis and suppressed the stem cell proliferation, migration, and invasion of CCA in vitro.",1
"To prove a direct interaction between miR-221 and ARHI mRNA, ARHI 3'UTR, which includes the potential target site for miR-221, was cloned downstream of the luciferase reporter gene of the pMIR-REPORT vector to generate the pMIR-ARHI-3'UTR vector.",0
Tissue concentrations of T3 (which are generated in part by D1) and expression of miRNA-204 (an mRNA inhibitor for which a putative interaction site was identified in the TRbeta1 3'UTR) were also determined.,0
"Enforced miR-497 expression, accompanied with SMAD7 reduction, suppressed MDA-MB-231 and MCF-7 breast cancer cell growth by MTT and invasion assay, and, induced the S phase arrest detected by flow cytometry.",0
Epithelial-specific histone modification of the miR-96/182 locus targeting AMAP1 mRNA predisposes p53 to suppress cell invasion in epithelial cells.,1
Both low expression of miR-369-3p and high expression of TSPAN13 were associated with shorter OS in thyroid cancer patients.,0
"Moreover, luciferase reporter assays revealed that LARP1 was a direct target of both miR-26a and miR-26b.",1
It was also determined that the expression of CYLD was downregulated in association with upregulated miR-182 in human GISTs.,1
"The present study revealed let-7e as a pro-inflammatory mediator and a novel regulatory mechanism for the NF-kappaB pathway through ceRNA crosstalk, comprising let-7e and its target IkappaBbeta and the ceRNA lnc-MKI67IP-3.",1
Luciferase reporter and western blot analyses were used to verify whether the mRNA encoding APC is a major target of miR-135b.,0
"Silencing miR-221, PTEN expression was up-regulated, the process of EMT could be reversed, and the ability of migration and invasion were correspondingly weakened.",1
"Over-expression of MFI2-AS1 increased FOXM1 expression both at mRNA and protein level, whereas it was reducd by miR-134.",0
siRNA-mediated knockdown of SMAD3 copied the phenotype of miR-145 and miR-203 overexpression in A549 and 95C cells.,0
"Interestingly, we show that overexpression of miR-130a increased the levels of tight-junction protein ZO-1 while inhibition of miR-130a reduced the levels of ZO-1.",1
PKCalpha mediated induction of miR-101 in human hepatoma HepG2 cells.,0
The putative miR-130b targeted site within 3' untranslated region (UTR) of CTIP mRNA was identified through in silico analysis and confirmed based on experimental data.,1
In silico analysis followed by in vitro and in vivo experiments were applied to identify miR-652's target gene Ccnd2 and investigate the pair's effects on ECs.,0
"Further, SOX7, a target of miR-1275, strengthened the effect of HAND2-AS1 in breast cancer.",1
The aim of this study was to determine whether microRNA-320 (miR-320) regulates the expression of MMP-13 in chondrogenesis and inflammation.,0
Identification of miR-4510 as a metastasis suppressor of gastric cancer through regulation of tumor microenvironment via targeting GPC3.,1
We identified that 3-phosphoinositide-dependent protein kinase-1 (PDK1) was a direct target gene of miR-613 in LSCC cell.,1
"Taken together, our study identified miR-615 as a tumor suppressor by targeting cyclin D2 in prostate cancer.",1
"Results: Compared with NSCLC adjacent tissues and NSCLC cisplatin-sensitive tissues, miR-126-5p expression was downregulated in NSCLC tissues and cisplatin-resistant NSCLC tissues and ADAM9 was upregulated.",1
"Furthermore, low-expression levels of miR-30a and high-expression levels of Vimentin and Twist1 were observed in the high-risk group.",0
"Here, our results displayed that LINC00536 and CENPF were overexpressed in BC cells, while miR-4282 was downregulated.",1
"In our study, ectopic             overexpression of miR-183 repressed the expression levels of Ezrin and significantly             inhibited the motility and invasion of osteosarcoma cells.",1
RUNX2 protein levels decrease upon stabilization of p53 with the MDM2 inhibitor Nutlin-3.,0
"Consistently, substantial increase of HDAC3 protein was detected in human HCC tissues and HDAC3 upregulation was significantly correlated with miR-195 downregulation, suggesting that HDAC3 elevation may represent an important cause for miR-195 reduction in HCC.",0
": miR-21 simultaneously regulates multiple programs that enhance cell proliferation, apoptosis and tumor invasiveness by targeting PTEN, RECK and Bcl-2 in GSQCLC.",1
"Furthermore, miR-106b-5p inhibited HPGD expression, thereby suppressing ESCC tumorigenesis.",1
"Computational analysis indicated that miRNAs that interact with the CD44 3' UTR also have binding sites in other matrix-encoding mRNA 3' UTRs, including collagen type 1alpha1 (Col1alpha1) repressed by miR-328 and fibronectin type 1 (FN1) repressed by miR-512-3p, miR-491 and miR-671.",0
Treating Par-4-overexpressing HT29 cells with a miR-34a antagomir functionally reversed both BCL2 down-regulation and apoptosis by 5-FU.,1
"A Novel Identified Long Intergenic Noncoding RNA, LINC01574, Contributes to Breast Cancer Deterioration via the Regulation of miR-6745/TTYH3 Axis.",1
Targeting of NAMPT-mediated NAD salvage pathway by miR-206 might provide a new insight in the possible molecular mechanism of breast cancer cell growth regulation.,1
We also found that the miR-495 inhibitor+siRNA-STAT3 group had reduced miR-495 expression.,0
"The cells were transfected with miR-330-5p and then, the gene and protein expression of TIM-3 were measured using q-RT-PCR and flow-cytometry methods, respectively.",0
MYC Promotes LDHA Expression through MicroRNA-122-5p to Potentiate Glycolysis in Hepatocellular Carcinoma.,1
"Further, TCF12 was the direct target of miR-211, miR-211 bound to TCF12 mRNA 3`-untranslated region (UTR) and increased its decay, overexpression of TCF12 could effectively rescue the weakened malignant behavior of T-LBL cells caused by miR-211 overexpression.",1
"The inhibition rate (IR) on cell proliferation was detected by CCK-8,and qRT-PCR was performed to detect the mRNA levels of miR-490 and denticleless E3 ubiquitin protein ligase(DTL).",0
Downregulation of miR-3127-5p promotes epithelial-mesenchymal transition via FZD4 regulation of Wnt/beta-catenin signaling in non-small-cell lung cancer.,1
"Overexpression of miR-6077 repressed the expression of GLUT1 and decreased the glucose uptake, lactate production, or ATP generation in AC cells.",1
We analyzed a single-nucleotide polymorphism (rs16917496) within the miR-502 miRNA seed region for the 3'-UTR of SET8 in Chinese patients with hepatocellular carcinoma (HCC).,0
"In conclusion, GSC-EXs can promote the angiogenic ability of ECs by stimulating miR-21/VEGF/VEGFR2 signal pathway.",1
Results from a luciferase reporting experiment show that structural maintenance of chromosomes (SMC)1A was a potential target of miR-638; this was verified by western blot assays during cell differentiation and DNA damage induction.,1
"Potential miR-96 binding sites were found within the 3'-UTR of wild-type LMO7 gene, but not of mutant LMO7 gene.",0
Silencing MALAT1 greatly inhibited HMGB1 expression which can be reversed by miR-129-5p inhibitors.,1
CONCLUSIONS: Circ_0078710 silencing aggravated curcumin-mediated anti-tumor effects through mediating the miR-378b/PRIM2 signaling in HCC cells.,1
The interaction between SOCS2 and miR-196a or miR-196b was explored by luciferase activity and RNA immunoprecipitation analyses.,0
"Under these experimental conditions, MTg-AMOs demonstrated better suppression of the expression of miR-221, miR-106a, miR-21 in gastric cancer cells than that of single AMOs (P = 0.014, 0.024; 0.038, respectively).",0
"Notably, we characterized miR21 as a critical player that mediates the crosstalk between the proinflammatory IL9 and the downstream CLDN8 in both in vitro and in vivo models.",0
"Besides, iASPP overexpression could partly restore the suppressive effect of miR-184 on CNSL cell proliferation and invasive capability.",0
Results showed a strong inhibition of E2F1 by MiR-331-3p and further promotion of E2F1 by MiR-331-3p inhibitor in transfected Bel-7402 cells.,1
"MicroRNA-429 (miR-429) has been suggested to inhibit epithelial-mesenchymal transition (EMT), mainly due to targeting of ZEB1 and ZEB2, which are repressors of the cell to cell contact protein, E-cadherin.",1
"TSPAN1 was proved to induce migration, and so up-regulation of TSPAN1 by miR-200a may explain why over-expressing miR-200a promotes NSCLC cells migration.",1
"Next, 17beta-estradiol (E2) treatment could improve miR-200c and drop the PTEN level, which caused a consequential increase of the phospho-PI3K-AKT pathway genes.",0
"The possible regulatory mechanism of action of miR-29c on its direct target VEGFA and the phosphatidylinositol 3-kinase (PI3K)/RAC-alpha serine/threonine-protein kinase (Akt) signaling pathway was examined using multiple methods, including reverse transcription-quantitative polymerase chain reaction analysis, dual luciferase assay and western blot analysis.",1
"To explore the therapeutic potential of miR-34a, we designed a targeted miR-34a expression plasmid (T-VISA-miR-34a) using the T-VISA system, and evaluated its antitumor effects, efficacy, mechanism of action, and systemic toxicity.",0
Overexpression of IL-9 induced by STAT3 phosphorylation is mediated by miR-155 and miR-21 in chronic lymphocytic leukemia.,0
"Furthermore, miR-93 suppressed cardiac hypertrophy responses by targeting Akt3 in Iso-stimulated cardiomyocytes.",1
Circ_0000654 was identified as a sponge of miR-149-5p and facilitated ESCC progression by indirectly activating the IL-6/STAT3 signaling pathway.,0
"In addition, an inverse correlation between the expression of miR-185 and HK2 was reported in OS.",0
One of the miRNAs we identified as a selective inhibitor of the survival of multiple KRAS-Mutant CRC lines was miR-126.,1
MicroRNA-100 is a potential molecular marker of non-small cell lung cancer and functions as a tumor suppressor by targeting polo-like kinase 1.,1
The interaction between miR-125a-5p and SIRT6 was evaluated by dual-luciferase reporter gene assay.,0
We were able to show through a dual luciferase assay and side-directed mutational analysis that miR-192 directly binds the 3' UTR of Dicer1 on positions 1232-1238 and 2282-2288.,1
"MiR-548an, Transcriptionally Downregulated by HIF1alpha/HDAC1, Suppresses Tumorigenesis of Pancreatic Cancer by Targeting Vimentin Expression.",1
"Among those, the miR-520/373 family inhibited NF-kappaB signaling through direct targeting of RELA and thus strongly reduced expression and secretion of the pro-inflammatory cytokines interleukin (IL)-6 and IL-8.",1
hsa_circ_001653 up-regulates NR6A1 expression and elicits gastric cancer progression by binding to microRNA-377.,1
"Novel-miR showed similarity in the seed region with the known miR-3675-3p, indicating that these miRNAs are likely to belong to the same family and thus may share common biology.",0
"Here, we found that miR-1297 expression was decreased in pancreatic adenocarcinoma tissues, while MTDH expression was increased in those tissues.",1
"Downregulation of PTEN by miR-221/222 increased the phosphorylation of Akt. Enforced expression of miR-221/222 promoted breast cancer cell proliferation, migration and invasion via targeting PTEN/Akt pathway.",1
A luciferase reporter assay demonstrated that miR-146a-5p and TCSF did have complementary sequences (P<0.05).,1
"In conclusion, the key findings of the current study demonstrate that exosomal miR-204 from MSCs possesses anticarcinogenic properties against NSCLC via the KLF7/AKT/HIF-1alpha axis.",0
"We found that miR-27a was highly expressed in breast cancer tissues, which downregulated GSK-3beta expression.",0
"Taken together, we demonstrated a TP73-AS1/miR-200a/ZEB1 regulating loop in breast cancer cells, which promote cancer cell invasion and migration through regulating E-cadherin and Twist expression.",1
MiR-744-5p inducing cell death by directly targeting HNRNPC and NFIX in ovarian cancer cells.,1
"Moreover, inhibition of STAT6 by small interfering RNA or miR-361-5p also decreased the expression of B-cell lymphoma extra large (Bcl-xL).",1
"Overexpression of mir-100 inhibited mTOR signaling and enhanced sensitivity to the rapamycin analog RAD001 (everolimus), confirming the key relationship between mir-100 and the mTOR pathway.",0
"Overall, this study demonstrates that targeting ATG7 and ATG2B-dependent autophagy is a critical mechanism by which miR-143 sensitizes AML to cytarabine, implicating it as a potential therapeutic target in AML treatment.",1
Luciferase reporter assay showed that miR-29a can directly bind to the 3' untranslated region (UTR) of AKT3 in PTC cells.,1
"Compared with those in NC inhibitor group,miR-490 demonstrated decreased mRNA level (t=9.523,P=0.001) and DTL presented increased mRNA level (t=11.305,P<0.001) in miR-490 inhibitor group.",0
miR-182 regulates trastuzumab resistance by targeting MET in breast cancer cells.,1
The expression of VEGFA was inversely correlated with miR-26a expression in HCC tumors.,0
The expression of LDHA was shown to be suppressed in NSCLC cell lines with miR-200c mimic transfection.,1
"By the target prediction algorithm TargetScan, we found Axin2 is a potential target for miR-3120-5p, and luciferase reporter assay demonstrated that miR-3120-5p reduces Axin2 expression.",1
"MiR-126-3p suppresses the growth, migration and invasion of NSCLC via targeting CCR1.",1
"C1QTNF6 Targeted by MiR-184 Regulates the Proliferation, Migration, and Invasion of Lung Adenocarcinoma Cells.",1
"These findings indicated that miR-296-5p/AKT2 axis serves important roles in HCC carcinogenesis and progression, and miR-296-5p/AKT2 based target therapy hampers HCC tumor growth and metastasis.",1
Transfection of let-7b mimic or inhibitor was used to confirm the effect of let-7b on drug sensitivity in chemotherapy via the regulation of c-Myc expression.,0
MicroRNA-330 is an oncogenic factor in glioblastoma cells by regulating SH3GL2 gene.,1
These findings point to a new mechanism by which miR-34a exerts its detrimental effects by negatively regulating SIRT1/HIF-1alpha signaling and provide new therapeutic targets for treating hearing impairment during diabetes.,0
"Further, miR-206, which can bind with 3'UTR of Twist1 mRNA, was involved in EZH2-regulated mRNA stability of Twist1.",1
"After transfection miR-34c mimics into mouse SSCs, or miR-34c lentiviral vector in vitro co-cultivation with seminiferous tubules, and Western blot analysis demonstrated that miR-34c over-expression could suppress Nanos2 expression in post-transcription level.",1
The ratios of p-PI3K/PI3K and p-AKT/AKT were declined after miR-93 mimic was introduced into the CRC cell lines.,0
"RNA immunoprecipitation and dual-luciferase reporter gene assay were employed for investigating the binding sequence between circ_0072088 and miR-375, as well as miR-375 and JAK2 3'UTR.",0
"MATERIALS AND METHODS: MiR-30a-5p inhibitor, miR-30a-5p mimic, AEG-1 siRNAs, as well as their negative controls were transfected into HCC cell lines HepG2, SMMC-7221, HepB3 and SNU449.",0
"Furthermore, miR-93 inhibition suppressed radiation resistance through BTG3.",1
"Furthermore, miR-192 activated EMT and PI3K/AKT pathway to regulate NPC progression.",0
"Microcosm Targets prediction showed that the cyb561d2 gene is also highly possibly targeted by miR-194a, miR-216b, miR-429, and miR-499.",1
"Afterwards, the expression patterns of DNMT3B, miR-451a and erythropoietin-producing hepatocellular receptor tyrosine kinase class A2 (EPHA2) were altered in BCa cells to test the ability of cell proliferation, apoptosis, migration as well as invasion.",0
Interventional blockade of the IL9-miR21-CLDN8 pathway could be a novel therapeutic approach for the management of CD.,1
"Furthermore, SGTB was found to be a downstream target of miR-365b, and knockdown of the SGTB gene could mimic the effect of miR-365b in hastening HCC cell migration and invasion.",1
This study was performed to elucidate the potential effects of KDM5A on prostate cancer (PCa) progression via the miR-495/YTHDF2/m6A-MOB3B axis.,1
"Here, we investigated the roles of forkhead box A2 (FOXA2) and microRNA-200a (miR-200a) in regulating the EMT of endometrial cancer cells RL95-2.",0
"Mechanistically, circ_0072088 activates JAK2/STAT3 signaling pathway by serving as a molecular sponge of miR-375.",0
MicroRNA-335 inhibits invasion and metastasis of colorectal cancer by targeting ZEB2.,1
Roles of a TMPO-AS1/microRNA-200c/TMEFF2 ceRNA network in the malignant behaviors and 5-FU resistance of ovarian cancer cells.,0
miR-6835-3p regulates the function of pancreatic islet cells by modulating the expression of AdipoR1.,1
Luciferase reporter assay suggested that miR-195 directly targets apelin messenger RNA.,1
GFP-tagged CAR was expressed in the cytoplasm in addition to the nucleus in the majority of HuH-7 cells in which miR-122 was highly expressed.,0
"We find that the mir-223 gene resembles a ""myeloid gene"" and might be driven by the myeloid transcription factors, PU.1 and C/EBPs.",0
MicroRNA-155 governs SHIP-1 expression and localization in NK cells and regulates subsequent infiltration into murine AT3 mammary carcinoma.,1
MiR-3116 sensitizes glioma cells to temozolomide by targeting FGFR1 and regulating the FGFR1/PI3K/AKT pathway.,1
"Taken together, our data indicate that miR-539 is a novel regulator of migration and invasion in human thyroid cancer cells by targeting CARMA1.",1
The expression of let-7b and c-Myc in these cells was detected by qPCR and western blot analysis.,0
Our results indicated that AhR activation could diminish M1 macrophage polarization and promote M2 macrophage polarization to suppress CaOx nephrocalcinosis via the AhR-miR-142a-IRF1/HIF-1alpha pathway.,1
"MATERIAL AND METHODS Expression patterns of TUG1, microRNA-498 (miR-498), and cell division cycle 42 (CDC42) mRNA were assessed using quantitative real time polymerase chain reaction (qRT-PCR).",0
"METHODS: The expression of circ_0008717, miR-217 and F-box protein 17 (FBXO17) mRNA was detected by real-time quantitative polymerase chain reaction (qRT-PCR).",0
"RESULTS: After miR-138 was transfected into oral cancer cells, the relative expression level of miR-138 was 4.28+-0.16, which was significantly higher than that of blank control and miR-NC group (P<0.05).",0
"Loss- and gain-of functions were performed to determine the roles of miR-646, TET1, IRX1, and HIST2H2BE in cell proliferation, migration, invasion, and apoptosis.",0
"AXIN2 reversed the CC cell proliferation-promoting, apoptosis-inhibiting, and Wnt/beta-catenin signaling-activating behavior mediated by miR-205-5p or HNRNPU-AS1 knockout.",0
"Collectively, the results of the present study suggested a potential role of the LINC00963/miR-10b/FGF13 axis in the tumorigenesis and progression of CRC, indicating a novel lncRNA-based diagnostic or therapeutic target for CRC.",1
miR-1228 prevents cellular apoptosis through targeting of MOAP1 protein.,1
MicroRNA-137 chemosensitizes colon cancer cells to the chemotherapeutic drug oxaliplatin (OXA) by targeting YBX1.,1
An inverse correlation between the expression of miR-122 and the NDRG3 protein was noted in HBV-related HCC specimens.,0
RESULTS: Examination of head and neck tumour tissues and cancer cell lines revealed that Nup214 and miR-133b expressions are negatively correlated.,0
This novel connection highlights new diagnostic and prognostic roles for miR-382-5p and RERG in breast cancer.,0
RESULTS: Mechanism studies revealed that RT-induced ARv7 may function via altering the circNHS/miR-512-5p/XRCC5 signaling to decrease the radiosensitivity.,1
"In addition, cylindromatosis (CYLD) was identified as a direct target of miR-182.",1
mir-126-5p Promotes Cisplatin Sensitivity of Non-Small-Cell Lung Cancer by Inhibiting ADAM9.,1
"Taken together, these data demonstrate that miR-424 has the capacity to suppress cell invasion and EMT in OCCC by downregulating DCLK1, suggesting potential therapeutic targets and strategies for the treatment of this disease.",1
"MiR-15b is a key regulator of proliferation and apoptosis of chondrocytes from patients with condylar hyperplasia by targeting IGF1, IGF1R and BCL2.",1
Direct interaction between miR-320 and its putative binding site in the 3'-untranslated region (3'-UTR) of Mmp-13 mRNA was confirmed by the luciferase reporter assay.,1
Opposing roles of C/EBPalpha and eEF1A1 in Sp1-regulated miR-122 transcription.,0
METHODS: The miR-193a was validated as negative regulator of urokinase-type plasminogen activator (uPA) in 2 HCC undifferentiated cell lines by transient transfection of miR and anti-miR molecules.,0
"MEG3 over-expression imposes another level of post-transcriptional regulation, whereas MEG3 overexpression increase the expression of the miR-664 target gene, ADH4, through competitive ""sponging"" miR-664.",1
Dual-luciferase reporter assay confirmed that miR-93 bound to the three prime untranslated region (3' UTR) of EphA4 and inhibited the expression of EphA4 mRNA.,1
Luciferase reporter assay demonstrated that miR-410 directly decreased VEGF expression by targeting its 3'-untranslated region.,1
We then analyzed the potential targets of let-7c and found that ITGB3 and MAP4K3 were directly repressed by let-7c.,1
"Potential recognition elements for miR-24 (MRE24) were identified in the coding region and the 3'-untranslated region (3'-UTR), and those for miR-34a (MRE34a) were identified in the 3'-UTR in HNF4alpha mRNA.",1
Upregulation of miR-15b-5p alleviated alpha-synuclein aggregation and apoptosis by targeting SIAH1 in SH-SY5Y cells overexpressing alpha-synuclein.,1
